generation,best_fitness,avg_progress,seed,weights_json
11,402.70,55.50,11,"[[[-1.1944026947021484, 2.7271766662597656, 2.0432071685791016, -0.914505124092102, 2.861811399459839], [0.08591333031654358, -3.039891242980957, -0.01333173830062151, -1.085192084312439, 2.0781376361846924], [0.22711527347564697, 1.8570109605789185, -0.9112432599067688, -5.102986812591553, -0.8020642399787903], [-2.7165729999542236, 3.922231674194336, -2.9436511993408203, 1.0699254274368286, -0.8433737754821777], [2.7267489433288574, 4.457165241241455, -1.8711061477661133, -1.3722858428955078, -1.0178723335266113]], [-2.6718337535858154, 3.3850979804992676, -2.5807719230651855, -0.640756368637085, -1.799785852432251], [[-1.1067036390304565, 0.8863620758056641, 1.6537261009216309], [-0.3197340667247772, 0.7515681982040405, 0.042515456676483154], [1.9827877283096313, 1.6200037002563477, -0.29273414611816406], [2.5163490772247314, -0.7434290647506714, -0.9639319777488708], [-2.105903148651123, 7.65922737121582, 0.6084141731262207]], [-2.9570488929748535, -1.2376364469528198, 3.0884106159210205], [[3.3769893646240234, -0.8016906380653381, 1.031603455543518], [1.097408652305603, 2.42122745513916, -0.7540190815925598], [0.9409813284873962, -1.3473279476165771, 5.78234338760376]], [2.2086687088012695, 2.0850088596343994, -1.8288055658340454], [[-7.578691482543945, 0.890970766544342], [-2.405893564224243, 0.8562313318252563], [1.485384225845337, -0.4827836751937866]], [1.1512659788131714, -0.14830879867076874]]"
12,410.05,138.90,12,"[[[0.8390404582023621, -0.3950245976448059, -0.7876173257827759, -1.275752067565918, 0.7562525868415833], [-3.936969041824341, -1.0008575916290283, -1.7742643356323242, -1.4834206104278564, 1.335634469985962], [0.6134474873542786, 1.441213846206665, 0.37105056643486023, -4.036088943481445, 0.9797196984291077], [2.2375760078430176, 1.0426126718521118, -1.5293591022491455, 3.482619285583496, -0.14210623502731323], [1.072277307510376, 0.9305084347724915, -4.059123992919922, -0.511960506439209, 1.0906867980957031]], [-2.8578643798828125, -0.7841569185256958, -3.3334343433380127, 3.0540683269500732, -1.1073579788208008], [[-1.4608368873596191, -1.5198644399642944, 2.403841733932495], [2.379242420196533, 2.3070664405822754, -3.462373971939087], [0.9518418312072754, 1.9780707359313965, -2.0958285331726074], [5.323160171508789, 1.2729207277297974, -1.4404280185699463], [-3.0224528312683105, 5.110177040100098, 0.7093332409858704]], [0.08951759338378906, -2.252821922302246, 0.3045046329498291], [[0.3472590446472168, -1.9118627309799194, 1.2304582595825195], [-0.3312930166721344, 3.5744524002075195, -0.6243109107017517], [7.057456016540527, 0.32434454560279846, 0.8334530591964722]], [2.540205478668213, -1.277534008026123, -3.018524169921875], [[-5.085349082946777, 0.6690268516540527], [-5.611579895019531, 3.6102402210235596], [2.687882423400879, -0.09439694136381149]], [2.0945701599121094, -0.6885768175125122]]"
13,372.83,64.13,13,"[[[-2.825025796890259, 3.929206371307373, 1.7347214221954346, -1.0310477018356323, 0.08080568164587021], [1.3116625547409058, -3.11552357673645, 0.18971507251262665, -2.376782178878784, 3.410112142562866], [1.4226399660110474, 1.759680151939392, 0.6397228240966797, -3.91683030128479, 0.04851643741130829], [-0.42571839690208435, 2.916053295135498, -3.747678756713867, 0.6282296776771545, -1.156683325767517], [3.868772268295288, 5.924136161804199, -3.0855929851531982, -1.5970832109451294, -0.8280506730079651]], [-2.656287908554077, 3.3825464248657227, -2.0114073753356934, -0.35440176725387573, -0.5913487076759338], [[-1.3261082172393799, 0.6421505212783813, 1.0320591926574707], [-0.08034593611955643, 0.14931108057498932, 0.26431238651275635], [1.7127429246902466, 2.2783684730529785, -0.23023191094398499], [3.365199565887451, -0.29612866044044495, -1.963364839553833], [-3.671844720840454, 8.301377296447754, -0.3483019173145294]], [-3.8444881439208984, -0.7031620740890503, 3.8587119579315186], [[2.780799150466919, -0.6515618562698364, 0.6925923824310303], [1.38405179977417, 1.9420925378799438, -0.6327846646308899], [0.789731502532959, -0.5298764705657959, 4.979771137237549]], [1.7417049407958984, 2.0996744632720947, -2.6231296062469482], [[-6.07474946975708, 3.823418378829956], [-2.4350905418395996, 1.1391087770462036], [1.8026044368743896, -0.5073637962341309]], [0.10559772700071335, -1.1203218698501587]]"
14,340.01,137.50,14,"[[[0.464821457862854, 1.3234694004058838, -0.3004703223705292, -0.8834788799285889, 1.6028435230255127], [-3.120185136795044, -1.730976939201355, -2.7125537395477295, 0.1293703317642212, 3.6518330574035645], [1.1147379875183105, 0.18272244930267334, -2.952235460281372, -3.876688241958618, 2.2126967906951904], [1.0002334117889404, 1.3036595582962036, 1.1226375102996826, 2.448695421218872, -0.555450975894928], [-0.3792097270488739, 1.077776551246643, -4.797171592712402, -1.2805722951889038, 2.0075676441192627]], [-1.00971519947052, 0.1783050000667572, -2.5591747760772705, 4.36240291595459, -1.8287341594696045], [[0.37576669454574585, -2.0755207538604736, 5.364910125732422], [2.662198066711426, 2.32328724861145, -4.228487014770508], [1.6549365520477295, 3.555206537246704, -2.1426923274993896], [4.321842193603516, 2.2708592414855957, -0.7339950799942017], [-2.658557415008545, 5.642991542816162, 3.010068893432617]], [-0.8503050804138184, 0.9317482113838196, -1.9903777837753296], [[-0.6390343904495239, -1.9327882528305054, -0.8111864924430847], [0.1474592387676239, 0.9258778691291809, -1.47921884059906], [6.562270164489746, -0.11658308655023575, 0.48232683539390564]], [2.0548951625823975, -0.8496982455253601, -1.6093626022338867], [[-2.627624273300171, -0.2431991696357727], [-7.077154159545898, 3.0730841159820557], [0.8698573708534241, -0.6127061247825623]], [3.166649103164673, 0.3868156671524048]]"
15,383.06,98.03,15,"[[[-0.9262228012084961, 3.6995766162872314, 3.5306315422058105, -1.6327685117721558, -1.9620898962020874], [0.061825864017009735, -3.1632182598114014, 0.015365666709840298, -1.2705364227294922, 3.211160659790039], [1.2516454458236694, 1.11642587184906, 1.8070706129074097, -4.849915981292725, 0.002602396998554468], [0.33577263355255127, 1.8481625318527222, -3.2654407024383545, 0.28471192717552185, -2.7644753456115723], [5.176966667175293, 5.046055793762207, -3.805957317352295, -2.074652671813965, 0.35520657896995544]], [-3.904812812805176, 3.1957268714904785, -1.535008192062378, 0.07037949562072754, -0.009310964494943619], [[-0.9202046990394592, -0.32220545411109924, 3.6440916061401367], [1.8542146682739258, -0.3982648551464081, -0.3538098931312561], [2.6058506965637207, 1.191247582435608, 0.4140965938568115], [4.649885654449463, 1.4871546030044556, -1.7746942043304443], [-2.7356436252593994, 8.907896041870117, -1.800864815711975]], [-6.023669719696045, -2.289790391921997, 3.267528772354126], [[1.0121243000030518, -0.4116910398006439, 0.3565550446510315], [2.2878944873809814, -0.04531893506646156, -1.0112727880477905], [0.9808815121650696, -2.6686294078826904, 6.014744281768799]], [2.1147866249084473, 2.0467891693115234, -2.9085023403167725], [[-6.991232395172119, 2.9603214263916016], [-2.7776811122894287, 1.3684111833572388], [-0.15136350691318512, -0.9279305338859558]], [-0.39497435092926025, 0.41061931848526]]"
16,401.95,135.33,16,"[[[-1.561354160308838, 4.0972819328308105, 3.0403389930725098, -1.3012901544570923, -1.2408078908920288], [-0.7485795021057129, -2.4014413356781006, -0.1797238141298294, -3.041999340057373, 3.1950645446777344], [1.6820112466812134, 0.9958680868148804, 1.9862383604049683, -4.561610698699951, -0.8416463732719421], [1.2700539827346802, 1.2333872318267822, -3.1140875816345215, 0.6129603385925293, -2.4835126399993896], [5.090954780578613, 5.990140914916992, -4.983871936798096, -2.343187093734741, -0.8618455529212952]], [-4.703277587890625, 3.6892080307006836, -1.391685128211975, -0.13911959528923035, -0.354488343000412], [[-1.1376954317092896, -0.4318167567253113, 4.307412624359131], [1.9739960432052612, 0.2708980441093445, -0.21801893413066864], [1.84809410572052, 1.0090205669403076, 0.6059784889221191], [4.421477794647217, 1.3980331420898438, -2.5442349910736084], [-1.527117133140564, 7.816163539886475, -1.4600465297698975]], [-6.811025142669678, -1.9783687591552734, 4.321139812469482], [[1.7053194046020508, -0.8598196506500244, 0.7038853764533997], [2.7577295303344727, -0.10430637001991272, -1.6417150497436523], [0.3126366436481476, -2.0809383392333984, 5.562638759613037]], [2.576605796813965, 3.240314483642578, -2.8047800064086914], [[-6.782372951507568, 2.375520706176758], [-2.6033809185028076, 1.5694071054458618], [0.5360271334648132, -0.007937981747090816]], [0.5546929240226746, 1.35838782787323]]"
17,443.74,163.30,17,"[[[-0.08912438899278641, 3.644364356994629, 4.072312831878662, -2.5654354095458984, -2.304184913635254], [-0.6309080123901367, -3.120931625366211, -1.816533088684082, -1.6101694107055664, 2.786771297454834], [0.4975895285606384, 1.8947995901107788, 2.935147523880005, -4.095730304718018, 0.3914742171764374], [0.7376971244812012, 1.279697299003601, -1.3984392881393433, -0.3635631501674652, -0.7311643362045288], [3.7355780601501465, 4.857682704925537, -3.3067543506622314, -3.7357614040374756, 0.2678337097167969]], [-3.830622911453247, 1.6884480714797974, -1.1224745512008667, -2.8661985397338867, -0.031597357243299484], [[-0.5538027286529541, -1.3874298334121704, 4.076099872589111], [2.4034221172332764, 1.042526125907898, -1.5389351844787598], [2.994245767593384, 1.3318374156951904, 1.114033579826355], [4.306051731109619, 1.6888799667358398, -2.5699644088745117], [-2.50343918800354, 8.012269020080566, -0.4774959087371826]], [-4.658079624176025, -3.8189778327941895, 3.016531229019165], [[2.450026750564575, 1.2523857355117798, 0.24592255055904388], [3.325517416000366, -0.3464995324611664, -1.10383141040802], [0.5117471814155579, -1.6437733173370361, 7.159241199493408]], [2.0504415035247803, 2.4595508575439453, -3.424454689025879], [[-7.754337310791016, 2.853351354598999], [-3.0809831619262695, 3.057098627090454], [0.8750081062316895, -0.5050647258758545]], [0.4113810658454895, 1.4684474468231201]]"
18,384.32,154.57,18,"[[[-1.9585850238800049, 6.656263828277588, 2.5289084911346436, -0.4080326557159424, -1.9230152368545532], [-0.5820735096931458, -3.6342387199401855, -1.187181830406189, -0.7093581557273865, 3.4436569213867188], [0.060997091233730316, 1.4809339046478271, 2.4838106632232666, -5.057938575744629, 1.5648155212402344], [-0.31200408935546875, 1.618878960609436, -2.8823606967926025, -0.16684558987617493, -2.6681272983551025], [4.187448978424072, 4.889887809753418, -6.1138505935668945, -2.367555618286133, -0.19877900183200836]], [-3.213261842727661, 5.288500785827637, -1.4845353364944458, 0.043936025351285934, -1.8442429304122925], [[-0.3449137210845947, -0.8065652251243591, 4.240230083465576], [3.123004913330078, 0.4182485342025757, 1.8661953210830688], [1.075402021408081, 0.4406161606311798, 3.122034788131714], [5.6362833976745605, 2.177410840988159, -0.5295318961143494], [-2.4010560512542725, 10.69204330444336, -1.7286009788513184]], [-4.109299659729004, -1.2703824043273926, 3.2983386516571045], [[3.3403570652008057, -2.3240387439727783, -0.42923715710639954], [3.4771714210510254, 1.027862310409546, -1.9287575483322144], [-0.12129330635070801, -2.7437901496887207, 6.7435407638549805]], [0.7753913998603821, 1.762414813041687, -1.9861912727355957], [[-9.46049690246582, 2.7024898529052734], [-3.483751058578491, 1.6315040588378906], [2.151087760925293, -2.675400972366333]], [0.46854308247566223, 1.2648074626922607]]"
19,488.51,240.90,19,"[[[-0.6217576861381531, 3.726205587387085, 6.203271865844727, -2.513535261154175, -1.6257997751235962], [-1.2489755153656006, -2.747645616531372, -2.4671828746795654, 1.1627475023269653, 2.099247694015503], [0.8894170522689819, 2.6480185985565186, 3.421635866165161, -3.3768389225006104, 0.29007667303085327], [0.5940083265304565, 1.3295828104019165, -2.8691611289978027, -1.6952933073043823, 0.17814946174621582], [4.823159217834473, 5.289794921875, -1.5226835012435913, -3.6991567611694336, 0.4674188196659088]], [-4.565269470214844, 1.5401018857955933, -1.9451013803482056, -3.0711796283721924, -0.4210118353366852], [[-1.0557217597961426, -0.6317883729934692, 1.888184905052185], [4.0823588371276855, 0.1893351823091507, -0.37593644857406616], [3.3647584915161133, 1.8862276077270508, 1.2152819633483887], [4.637044906616211, -0.2997600734233856, -2.5990641117095947], [-3.9149973392486572, 6.734902858734131, -1.6560420989990234]], [-4.954610824584961, -3.058539867401123, 3.1250927448272705], [[1.9631061553955078, 0.6316465735435486, -0.35350632667541504], [4.0595574378967285, 0.5886837840080261, -0.4978022277355194], [0.5885459780693054, -0.8760823011398315, 7.235318183898926]], [2.8624846935272217, 2.615199089050293, -2.9484453201293945], [[-6.826226711273193, -0.15398897230625153], [-4.328025817871094, 4.78449821472168], [1.1611207723617554, -0.31655779480934143]], [1.9503413438796997, 0.9267716407775879]]"
20,462.90,139.60,20,"[[[-3.555914878845215, 7.990407466888428, 1.9220112562179565, 0.859216570854187, -2.9875614643096924], [0.038854122161865234, -3.801694869995117, 0.022025182843208313, -2.4651169776916504, 5.044497966766357], [0.6473255753517151, 3.699464797973633, 2.280240774154663, -5.888862609863281, 2.4438180923461914], [-1.3348751068115234, 1.666072130203247, -3.4895851612091064, 1.17111337184906, -2.7215983867645264], [5.0688300132751465, 6.725954532623291, -7.0682244300842285, -1.6790839433670044, -1.6068015098571777]], [-3.1893439292907715, 6.315917015075684, -0.42180895805358887, -1.8539620637893677, -1.625463604927063], [[0.49985548853874207, -1.4367495775222778, 5.831604957580566], [2.449413299560547, -0.42040905356407166, 2.7334418296813965], [1.9666121006011963, 0.14866763353347778, 2.5857625007629395], [5.078108310699463, 4.006786346435547, 0.2737728953361511], [-1.826097846031189, 8.319022178649902, -0.6030312180519104]], [-4.219000339508057, -1.9504190683364868, 2.45296311378479], [[1.596909761428833, -2.3705179691314697, 0.5437743663787842], [5.505647659301758, 0.47839879989624023, -0.6996040344238281], [-0.42235103249549866, -0.5716959238052368, 6.703195571899414]], [1.8890348672866821, -0.6376606822013855, -2.833648920059204], [[-10.378296852111816, 1.4302196502685547], [-3.208223819732666, 2.6895458698272705], [1.455757975578308, -3.4618000984191895]], [-1.419127106666565, 1.907655954360962]]"
