generation,best_fitness,avg_progress,seed,weights_json
256,494.55,338.77,56,"[[[6.5214972496032715, 4.235495567321777, -0.5242708325386047, 0.29922062158584595, -3.859078884124756], [-7.756750106811523, 11.630159378051758, 3.4941396713256836, -1.4824398756027222, 25.1087703704834], [-4.065829277038574, 1.807375192642212, -3.1431071758270264, -6.913366794586182, 2.9450619220733643], [-3.4549710750579834, -4.252080917358398, -7.567655086517334, -6.706212997436523, -11.922560691833496], [11.428794860839844, -11.96117877960205, -15.509909629821777, -25.167818069458008, -1.062902808189392]], [-0.3259122967720032, 16.63979148864746, -1.6538169384002686, -17.87485694885254, -13.211779594421387], [[8.59717082977295, -3.8187851905822754, 7.120285987854004], [-9.672940254211426, -7.730308532714844, -10.128350257873535], [-12.212881088256836, -8.021373748779297, 5.914214134216309], [10.859583854675293, -9.622557640075684, 11.132052421569824], [2.3562121391296387, 16.272254943847656, -3.0513134002685547]], [-6.893984317779541, -8.296503067016602, 21.166927337646484], [[7.695810317993164, 8.1420316696167, -4.242246627807617], [13.221473693847656, -23.654071807861328, 13.734777450561523], [15.568840980529785, -14.140303611755371, 18.53833770751953]], [-9.097779273986816, 2.094609498977661, -3.3999505043029785], [[-18.49863624572754, -3.9862186908721924], [8.5908842086792, -11.985124588012695], [3.8608715534210205, -8.340116500854492]], [-13.725707054138184, 8.656668663024902]]"
257,346.25,300.10,57,"[[[3.9646036624908447, 5.497883319854736, 0.3964066803455353, 0.6901608109474182, -3.467688798904419], [-8.774001121520996, 10.064427375793457, 2.817662477493286, -2.106551170349121, 25.94938850402832], [-6.076504707336426, 1.375446081161499, -4.236945152282715, -5.916904449462891, 2.1809093952178955], [-4.130768299102783, -3.615269184112549, -8.918723106384277, -6.661730766296387, -11.013023376464844], [11.650603294372559, -12.67463493347168, -17.0325984954834, -25.874248504638672, -2.9181294441223145]], [-0.5149471163749695, 18.539033889770508, 0.8489431142807007, -16.870542526245117, -15.558858871459961], [[7.46877384185791, -3.9457757472991943, 5.677262306213379], [-9.34267807006836, -6.944060325622559, -9.829349517822266], [-12.195446014404297, -9.469717979431152, 4.715836048126221], [11.726985931396484, -9.2193021774292, 11.118361473083496], [3.1201865673065186, 14.969989776611328, -3.4377634525299072]], [-5.963642120361328, -9.096081733703613, 19.901912689208984], [[9.14251708984375, 7.202754974365234, -3.0116705894470215], [14.229480743408203, -23.194265365600586, 14.229859352111816], [16.277244567871094, -13.8014497756958, 16.64192771911621]], [-8.522112846374512, 1.0960050821304321, -0.8596084713935852], [[-18.426422119140625, -3.139641523361206], [8.249422073364258, -11.25658893585205], [5.605445861816406, -9.224611282348633]], [-15.30420970916748, 7.763041019439697]]"
258,452.61,274.77,58,"[[[6.013801574707031, 4.720877647399902, 0.7952271103858948, -1.9908897876739502, -5.165853023529053], [-8.445380210876465, 8.713357925415039, 5.5722270011901855, -0.7245204448699951, 26.440898895263672], [-4.125556468963623, 0.9112442135810852, -2.9180686473846436, -6.703603744506836, 1.5264453887939453], [-2.5806045532226562, -5.22281551361084, -10.059056282043457, -6.88323450088501, -10.120192527770996], [10.422565460205078, -12.594487190246582, -17.36504554748535, -24.869138717651367, -2.601320743560791]], [-0.35862138867378235, 18.23126792907715, -1.722994327545166, -17.799779891967773, -15.13378620147705], [[7.95058012008667, -3.253404140472412, 5.904899597167969], [-11.727404594421387, -9.484915733337402, -10.1358060836792], [-12.923836708068848, -8.59769058227539, 2.117548942565918], [11.121475219726562, -9.131165504455566, 10.620426177978516], [3.3956127166748047, 15.99735164642334, -3.1332242488861084]], [-7.623303413391113, -8.058883666992188, 18.790151596069336], [[7.715862274169922, 8.918389320373535, -6.026931285858154], [11.699470520019531, -21.4659423828125, 10.96541976928711], [15.914928436279297, -13.787149429321289, 16.737194061279297]], [-9.01542854309082, 3.248889684677124, -1.792495846748352], [[-21.406970977783203, -5.013216018676758], [7.363751411437988, -13.283416748046875], [4.00485897064209, -9.883748054504395]], [-15.200984954833984, 7.064092636108398]]"
259,394.84,282.23,59,"[[[5.383963108062744, 4.049459934234619, -0.4221213459968567, -2.113149642944336, -4.854874134063721], [-7.977557182312012, 9.139083862304688, 5.478332042694092, -0.2951742708683014, 26.462074279785156], [-4.016854763031006, 0.08584021031856537, -2.7277028560638428, -7.492569923400879, 1.554871916770935], [-2.6677141189575195, -4.220384120941162, -9.025188446044922, -7.396975040435791, -11.53006649017334], [10.675459861755371, -13.343988418579102, -17.58421516418457, -25.02892303466797, -2.9417285919189453]], [-0.7085338234901428, 18.028472900390625, -1.0883469581604004, -17.99178123474121, -15.086649894714355], [[6.643568515777588, -3.2370338439941406, 4.650089740753174], [-11.899874687194824, -9.443650245666504, -10.091739654541016], [-13.704627990722656, -8.578368186950684, 3.0641541481018066], [12.0755615234375, -9.152791976928711, 9.530436515808105], [3.1261918544769287, 15.291109085083008, -3.1600306034088135]], [-9.618314743041992, -7.647648811340332, 18.54996109008789], [[7.467458248138428, 8.732378005981445, -4.971996307373047], [11.189705848693848, -21.992902755737305, 11.250146865844727], [16.079782485961914, -12.87952995300293, 15.250533103942871]], [-9.334371566772461, 3.0799455642700195, -2.620128870010376], [[-20.633678436279297, -4.966942310333252], [8.22195053100586, -13.203436851501465], [4.191886901855469, -8.925983428955078]], [-15.279207229614258, 7.425606727600098]]"
260,388.31,250.67,60,"[[[7.2412638664245605, 3.943546772003174, 2.2185556888580322, -0.1773083508014679, -4.086786270141602], [-9.333327293395996, 10.944747924804688, 5.8736348152160645, 0.4135320484638214, 24.610755920410156], [-2.964534044265747, 3.5658376216888428, -3.0760598182678223, -7.293067932128906, 4.315399646759033], [-2.1168112754821777, -6.198978424072266, -9.7847900390625, -5.182666778564453, -11.693832397460938], [11.51431941986084, -10.639631271362305, -16.359668731689453, -25.435632705688477, -1.8194595575332642]], [0.8307099342346191, 19.043500900268555, -3.136599063873291, -19.648000717163086, -16.071964263916016], [[8.750028610229492, -2.815361261367798, 6.147819519042969], [-11.351158142089844, -7.11475133895874, -11.494976997375488], [-14.870429992675781, -9.787633895874023, 3.6578569412231445], [9.24656867980957, -7.6877312660217285, 11.50887393951416], [0.3219166696071625, 16.41507339477539, -5.942646503448486]], [-6.63133430480957, -6.75858736038208, 18.696483612060547], [[8.846879959106445, 9.633593559265137, -5.967182159423828], [11.250138282775879, -22.374805450439453, 10.7222261428833], [16.6624813079834, -13.055947303771973, 18.878511428833008]], [-9.46640682220459, 2.1251749992370605, -2.5914013385772705], [[-20.64570426940918, -5.951633930206299], [8.083160400390625, -15.619990348815918], [4.402060031890869, -11.26554012298584]], [-12.76152515411377, 7.526998996734619]]"
261,431.51,355.60,61,"[[[4.697796821594238, 2.8443491458892822, 0.4595333933830261, -1.6483489274978638, -4.639098167419434], [-7.877317905426025, 9.515668869018555, 5.2310686111450195, -0.893058717250824, 24.8322696685791], [-3.065171480178833, -0.18241548538208008, -3.489274740219116, -6.6496663093566895, 1.1536352634429932], [-3.131747245788574, -5.307479381561279, -7.997985363006592, -8.68278980255127, -12.116386413574219], [9.91820240020752, -12.592232704162598, -18.98672866821289, -24.70619773864746, -3.124220132827759]], [-1.2387408018112183, 16.7515869140625, -0.03073868714272976, -18.552507400512695, -14.647369384765625], [[7.728565216064453, -3.881791353225708, 5.441348552703857], [-13.815337181091309, -11.727768898010254, -8.555849075317383], [-13.733454704284668, -9.700613021850586, 4.141638278961182], [11.450002670288086, -8.756759643554688, 10.903368949890137], [2.294260263442993, 15.005260467529297, -3.8130226135253906]], [-8.500635147094727, -6.68148136138916, 20.26119041442871], [[6.657107830047607, 9.702079772949219, -5.391964435577393], [11.326277732849121, -22.75383758544922, 10.794319152832031], [17.145177841186523, -12.809582710266113, 14.38359260559082]], [-8.614367485046387, 2.2034835815429688, -2.5588526725769043], [[-18.555139541625977, -5.892573356628418], [7.881586074829102, -12.32051944732666], [4.615590572357178, -7.7651591300964355]], [-16.476823806762695, 7.35841178894043]]"
262,19.00,13.87,62,"[[[6.501749515533447, 5.309467315673828, 3.2142021656036377, 0.37341591715812683, -4.219557762145996], [-10.958135604858398, 12.795440673828125, 6.644294261932373, -1.4177149534225464, 24.12247657775879], [-2.872124433517456, 2.234894037246704, -2.736074924468994, -7.544140815734863, 3.921340227127075], [0.097535640001297, -5.760461330413818, -10.874870300292969, -4.008957862854004, -14.540627479553223], [10.293625831604004, -10.070613861083984, -16.511302947998047, -25.265398025512695, -0.23410704731941223]], [0.9196376204490662, 19.654834747314453, -3.1179990768432617, -19.84310531616211, -17.838478088378906], [[8.951152801513672, -3.1795191764831543, 5.203078746795654], [-10.535966873168945, -6.388679027557373, -10.590181350708008], [-15.19153118133545, -10.150032043457031, 4.663262844085693], [9.483161926269531, -9.332271575927734, 10.62147331237793], [2.1797034740448, 17.948232650756836, -7.270618438720703]], [-7.579280376434326, -6.778027534484863, 19.86195182800293], [[8.452658653259277, 9.124792098999023, -7.139458179473877], [11.889549255371094, -23.031614303588867, 12.307744979858398], [17.640789031982422, -13.846397399902344, 20.157344818115234]], [-8.619296073913574, 0.987686038017273, -2.1874051094055176], [[-19.878232955932617, -7.020618915557861], [8.855281829833984, -15.74773120880127], [3.064753532409668, -11.51370906829834]], [-13.23983383178711, 7.937217712402344]]"
263,455.55,214.67,63,"[[[3.199679374694824, 4.810952663421631, -0.3609275221824646, -2.2797272205352783, -4.695948600769043], [-6.521832466125488, 7.374495506286621, 4.2313408851623535, -1.2350051403045654, 26.55328941345215], [-2.37412166595459, -1.2458378076553345, -4.445924758911133, -6.282057285308838, 4.680198669433594], [-4.421976566314697, -6.106621742248535, -9.183820724487305, -7.381566047668457, -13.588661193847656], [11.001201629638672, -12.880411148071289, -17.503854751586914, -23.6174259185791, -2.2700793743133545]], [-0.8861664533615112, 18.548662185668945, -1.4666441679000854, -18.38878059387207, -14.180380821228027], [[6.2680888175964355, -0.9646242260932922, 2.9961097240448], [-11.205309867858887, -10.63499927520752, -9.50115966796875], [-12.839950561523438, -8.808926582336426, 1.9323747158050537], [12.63634204864502, -8.193846702575684, 10.872756004333496], [2.3928303718566895, 15.005634307861328, -5.499759674072266]], [-7.702315330505371, -7.690904140472412, 19.438251495361328], [[10.07278060913086, 8.872906684875488, -4.593571662902832], [11.530851364135742, -23.641559600830078, 11.08582592010498], [16.720651626586914, -11.790411949157715, 15.088459014892578]], [-10.830544471740723, 3.8158981800079346, -1.6082032918930054], [[-19.861867904663086, -7.535187244415283], [7.668487071990967, -12.254592895507812], [3.3603553771972656, -8.84288215637207]], [-17.102306365966797, 8.644241333007812]]"
264,465.45,359.57,64,"[[[2.3896114826202393, 5.260384559631348, 1.0167286396026611, -1.5345388650894165, -5.022162914276123], [-7.142393112182617, 7.646307945251465, 5.255608081817627, -0.13012614846229553, 24.4661922454834], [-3.5565409660339355, -2.349191427230835, -3.5628998279571533, -5.094043254852295, 6.015482425689697], [-3.8337819576263428, -6.485300064086914, -6.680046081542969, -7.2531561851501465, -16.065174102783203], [10.316781997680664, -12.892165184020996, -16.69017791748047, -25.083513259887695, -2.4113543033599854]], [0.6618810296058655, 18.155746459960938, 0.3905073404312134, -16.912281036376953, -15.592405319213867], [[6.795211315155029, -2.37500262260437, 2.8167271614074707], [-11.128908157348633, -10.302827835083008, -8.938628196716309], [-12.55698013305664, -8.664965629577637, 3.698945999145508], [12.615132331848145, -8.615621566772461, 10.618337631225586], [2.5785839557647705, 15.570775985717773, -5.297667026519775]], [-7.467071533203125, -8.197542190551758, 20.898900985717773], [[8.081586837768555, 9.75698184967041, -5.557852268218994], [10.007685661315918, -23.965526580810547, 11.665060997009277], [17.364999771118164, -9.241975784301758, 16.80300521850586]], [-12.840219497680664, 1.8030359745025635, -2.8671510219573975], [[-20.493532180786133, -7.398036956787109], [6.398643970489502, -13.947827339172363], [3.666006088256836, -7.404688835144043]], [-16.73905372619629, 10.583880424499512]]"
265,425.84,224.63,65,"[[[7.821731090545654, 3.3117315769195557, 2.924225330352783, 1.3846099376678467, -5.178518295288086], [-9.33486557006836, 13.531576156616211, 6.071527481079102, 0.554932713508606, 25.395751953125], [-4.4698286056518555, 3.562197685241699, -3.2636966705322266, -9.080506324768066, 3.2242071628570557], [-1.8075791597366333, -5.797187328338623, -7.9831061363220215, -2.918445587158203, -10.40759563446045], [9.587053298950195, -6.281778335571289, -16.22272300720215, -27.049766540527344, -2.152479887008667]], [0.4610329568386078, 15.467671394348145, -3.2663767337799072, -18.82265281677246, -15.57390308380127], [[7.4936933517456055, -4.235876560211182, 3.3082423210144043], [-9.9852876663208, -7.784508228302002, -11.167664527893066], [-13.753934860229492, -7.863007068634033, 2.459998369216919], [8.215164184570312, -10.427411079406738, 12.305962562561035], [1.940048098564148, 18.002456665039062, -3.7442755699157715]], [-5.972837448120117, -5.973799705505371, 19.739356994628906], [[6.4778151512146, 10.596435546875, -6.068043231964111], [11.351532936096191, -23.39116668701172, 11.805517196655273], [18.490137100219727, -14.345926284790039, 19.09204864501953]], [-11.260971069335938, 2.6642916202545166, 0.2112337201833725], [[-19.937856674194336, -6.934637546539307], [8.372114181518555, -14.220980644226074], [2.960193395614624, -11.753397941589355]], [-11.740260124206543, 6.205138683319092]]"
266,356.17,234.20,66,"[[[6.350674629211426, 6.067323684692383, 0.841039776802063, 2.4973154067993164, -5.310303688049316], [-7.960155010223389, 13.094001770019531, 5.898246765136719, 0.40531423687934875, 23.049978256225586], [-1.590903878211975, 3.693977117538452, -1.0917221307754517, -6.514162540435791, 2.5329532623291016], [-5.217684745788574, -6.34164571762085, -8.102922439575195, -4.324209213256836, -10.265153884887695], [14.01036262512207, -10.924792289733887, -16.03045654296875, -24.339345932006836, -1.0305589437484741]], [0.27647584676742554, 22.158891677856445, -4.81712532043457, -14.82829761505127, -14.931262016296387], [[5.9439802169799805, -1.872504711151123, 5.1012420654296875], [-12.841917991638184, -2.1121037006378174, -8.42703914642334], [-12.991131782531738, -10.132841110229492, 1.4190359115600586], [8.44701862335205, -8.017704010009766, 12.177556037902832], [1.6352064609527588, 14.876078605651855, -1.9403326511383057]], [-6.576600074768066, -6.940243244171143, 20.634634017944336], [[6.66016960144043, 7.1006646156311035, -4.894312858581543], [13.051340103149414, -20.37623405456543, 9.80851936340332], [16.306461334228516, -10.063859939575195, 19.870271682739258]], [-9.257770538330078, 4.587987422943115, -0.5784661769866943], [[-20.85352897644043, -9.01776123046875], [4.294397830963135, -13.497004508972168], [4.757073879241943, -12.333024024963379]], [-18.487239837646484, 5.495988845825195]]"
267,367.31,257.07,67,"[[[6.108188152313232, 5.8094329833984375, 0.5320698618888855, 2.0070769786834717, -4.574833869934082], [-10.225800514221191, 13.1318941116333, 5.671865463256836, -0.14915721118450165, 22.918031692504883], [-3.731257200241089, 5.504034519195557, -1.422791838645935, -5.422911643981934, 1.6596866846084595], [-5.401824951171875, -4.322265625, -7.839730739593506, -3.8263514041900635, -10.790406227111816], [14.779387474060059, -10.632734298706055, -17.598119735717773, -24.929241180419922, 0.7321255207061768]], [0.5945945978164673, 23.46294593811035, -3.1893527507781982, -14.829235076904297, -16.366352081298828], [[6.098602294921875, -2.0296897888183594, 7.44763708114624], [-13.43904972076416, -2.603013753890991, -10.143782615661621], [-10.834524154663086, -13.00046157836914, 1.6750538349151611], [10.508588790893555, -8.987614631652832, 13.50329875946045], [-0.6033017039299011, 15.044306755065918, -1.2644679546356201]], [-8.284832954406738, -6.8158159255981445, 22.809131622314453], [[6.4451751708984375, 7.453564643859863, -5.305514335632324], [12.266201972961426, -21.6688232421875, 8.493364334106445], [18.124582290649414, -8.874404907226562, 19.085477828979492]], [-9.280158042907715, 3.348665714263916, -3.1301066875457764], [[-21.338825225830078, -9.495390892028809], [5.1692795753479, -14.71268081665039], [3.484733819961548, -13.636848449707031]], [-18.944259643554688, 5.772043228149414]]"
268,478.51,332.67,68,"[[[9.924102783203125, 5.539456367492676, 2.0303099155426025, 1.6785788536071777, -5.658876895904541], [-10.345617294311523, 15.640103340148926, 6.845177173614502, 1.3675775527954102, 25.734464645385742], [-4.1914896965026855, 4.162928104400635, -2.4901745319366455, -8.216161727905273, 3.830817461013794], [-1.9663790464401245, -5.271583557128906, -8.735820770263672, -2.919003486633301, -10.661279678344727], [8.401130676269531, -8.034045219421387, -14.643468856811523, -26.495304107666016, -1.7899600267410278]], [0.04185974597930908, 15.54035758972168, -3.440445899963379, -17.211833953857422, -16.28737449645996], [[9.74256706237793, -3.044879198074341, 2.784027338027954], [-10.666189193725586, -8.924612998962402, -13.097232818603516], [-13.80971908569336, -10.61831283569336, 3.348263740539551], [7.694603443145752, -11.202580451965332, 12.865354537963867], [3.910825729370117, 15.505369186401367, -5.049345016479492]], [-6.595653533935547, -6.423099040985107, 20.001815795898438], [[5.690373420715332, 10.934141159057617, -7.412360668182373], [11.987298011779785, -22.113367080688477, 10.307125091552734], [17.188461303710938, -14.29504108428955, 16.259510040283203]], [-13.350139617919922, 0.20834019780158997, -2.0871024131774902], [[-20.342426300048828, -8.294027328491211], [7.591568470001221, -14.943403244018555], [3.1739556789398193, -10.930245399475098]], [-13.225689888000488, 7.1099114418029785]]"
269,465.16,383.57,69,"[[[4.989515781402588, 6.484516620635986, 2.3267228603363037, 1.324013590812683, -8.328516960144043], [-12.33580207824707, 16.565956115722656, 6.646952152252197, 2.093339681625366, 26.036052703857422], [-3.381784677505493, 3.6906144618988037, -4.4458112716674805, -7.974358558654785, 3.270142078399658], [-1.3838653564453125, -4.676408290863037, -7.184319019317627, -3.925614356994629, -11.675477027893066], [10.302949905395508, -5.750574588775635, -13.979191780090332, -26.045095443725586, -0.38305747509002686]], [1.4012963771820068, 15.66883659362793, -3.1441845893859863, -16.201231002807617, -17.052106857299805], [[9.041301727294922, -2.981206178665161, 3.248072385787964], [-11.348467826843262, -7.023975372314453, -13.504544258117676], [-12.845390319824219, -11.140188217163086, 2.160677671432495], [7.735164165496826, -9.158519744873047, 13.796195030212402], [3.1101434230804443, 17.730838775634766, -6.434163570404053]], [-5.400079727172852, -4.979086875915527, 20.848112106323242], [[7.662680625915527, 10.81863021850586, -7.137171268463135], [12.147396087646484, -21.08674430847168, 10.955453872680664], [17.18910789489746, -13.76476001739502, 19.0039119720459]], [-11.779412269592285, 3.478539228439331, -2.6913256645202637], [[-19.85141944885254, -7.921103000640869], [6.7685089111328125, -15.48441219329834], [3.602713108062744, -9.829185485839844]], [-15.647764205932617, 7.0265984535217285]]"
270,67.00,24.67,70,"[[[7.9115777015686035, 2.8685717582702637, 4.394163608551025, 0.48182085156440735, -4.322979927062988], [-10.24258041381836, 14.312580108642578, 7.073123931884766, 1.7761948108673096, 24.744754791259766], [-4.13416862487793, 5.060904026031494, -4.489227294921875, -9.043554306030273, 2.9294333457946777], [-0.26696398854255676, -6.292813777923584, -7.396888732910156, -3.395076036453247, -9.024476051330566], [11.91435432434082, -6.691153049468994, -15.165738105773926, -25.86409568786621, -3.4579074382781982]], [-0.47643381357192993, 14.665288925170898, -1.7719454765319824, -16.025407791137695, -14.330568313598633], [[6.500888347625732, -3.8106462955474854, 2.9225785732269287], [-9.383151054382324, -9.121788024902344, -9.809914588928223], [-13.588098526000977, -10.085782051086426, 4.307339668273926], [6.961562156677246, -9.645065307617188, 12.6602201461792], [3.2974987030029297, 17.459461212158203, -5.977013111114502]], [-6.548402309417725, -6.508769989013672, 20.119544982910156], [[8.222848892211914, 12.875120162963867, -5.693578720092773], [12.937763214111328, -22.366804122924805, 11.415547370910645], [17.780698776245117, -13.1383638381958, 20.662073135375977]], [-11.957276344299316, 2.341240406036377, -1.1775952577590942], [[-19.159656524658203, -6.950653553009033], [7.121868133544922, -17.584062576293945], [0.5848435163497925, -12.165213584899902]], [-14.43545150756836, 7.2394866943359375]]"
271,401.76,270.23,71,"[[[3.838391065597534, 8.35859489440918, 1.945184350013733, 2.4909920692443848, -8.86489200592041], [-11.419599533081055, 18.731792449951172, 7.561070442199707, 1.2183111906051636, 27.12682342529297], [-2.056082248687744, 3.288449764251709, -5.235511302947998, -8.521655082702637, 4.078268051147461], [-2.3990843296051025, -4.743350982666016, -6.054119110107422, -2.9527499675750732, -11.42918586730957], [9.44548225402832, -5.270120620727539, -12.481185913085938, -26.455202102661133, -0.11860714107751846]], [1.7336362600326538, 15.64376449584961, -2.454061985015869, -15.576495170593262, -16.670185089111328], [[8.458740234375, -3.1517016887664795, 4.744734764099121], [-10.076313972473145, -6.771296977996826, -14.961047172546387], [-13.581090927124023, -10.84860897064209, 3.1406407356262207], [7.4279255867004395, -10.226543426513672, 14.63403606414795], [2.947486162185669, 19.198047637939453, -6.381723880767822]], [-5.117762088775635, -5.350481986999512, 20.050556182861328], [[8.904133796691895, 10.690552711486816, -8.918689727783203], [13.374030113220215, -22.814109802246094, 12.5017671585083], [16.964357376098633, -14.590008735656738, 19.058000564575195]], [-10.958147048950195, 2.6675267219543457, -3.5800607204437256], [[-18.906091690063477, -7.186944007873535], [5.924478530883789, -16.489948272705078], [2.1957249641418457, -9.603521347045898]], [-16.09485626220703, 9.264822006225586]]"
272,365.51,200.20,72,"[[[4.825307369232178, 8.845006942749023, 0.7901347279548645, 1.9774831533432007, -8.564201354980469], [-11.650290489196777, 18.161174774169922, 7.3276190757751465, -0.07089553773403168, 27.73242950439453], [-1.021013855934143, 4.049699306488037, -6.16395902633667, -6.800049304962158, 3.2014124393463135], [-2.1462481021881104, -4.629554271697998, -6.738984107971191, -4.13922643661499, -11.000151634216309], [9.235950469970703, -6.265697479248047, -11.191425323486328, -27.747648239135742, 2.784846067428589]], [1.7903016805648804, 13.321085929870605, -6.514639854431152, -17.19680404663086, -17.84152603149414], [[8.350517272949219, -3.886759042739868, 3.0308799743652344], [-12.037708282470703, -7.869984149932861, -14.136237144470215], [-12.20645523071289, -13.002593040466309, 2.7481226921081543], [7.980848789215088, -10.651053428649902, 13.117411613464355], [3.955172538757324, 18.354984283447266, -9.068442344665527]], [-2.2152633666992188, -4.331289768218994, 20.809804916381836], [[7.174350261688232, 11.089268684387207, -7.207249164581299], [12.919364929199219, -22.802471160888672, 10.240585327148438], [15.095093727111816, -12.568679809570312, 18.806041717529297]], [-11.380374908447266, 3.1026699542999268, -3.8436410427093506], [[-21.302831649780273, -8.119190216064453], [6.541985988616943, -16.010082244873047], [4.037996292114258, -10.648179054260254]], [-16.52628517150879, 6.999863147735596]]"
273,403.08,310.40,73,"[[[5.556084632873535, 7.065832138061523, 0.20648710429668427, 1.8782894611358643, -7.3082075119018555], [-11.778848648071289, 17.20041847229004, 4.413360595703125, 2.957003116607666, 23.96151351928711], [-2.102931499481201, 1.457783579826355, -5.077496528625488, -8.746702194213867, 3.8230254650115967], [-3.2534117698669434, -6.674055576324463, -9.215738296508789, -2.8262414932250977, -10.17845630645752], [9.98586368560791, -4.172369956970215, -14.47418212890625, -26.81769371032715, 0.18256613612174988]], [1.0229377746582031, 12.217119216918945, -2.3459043502807617, -20.127046585083008, -16.003541946411133], [[11.046598434448242, -1.9847489595413208, 3.6726043224334717], [-12.69914722442627, -6.698629856109619, -16.58976173400879], [-12.273422241210938, -11.213228225708008, 1.5986768007278442], [8.093564987182617, -8.013638496398926, 11.036419868469238], [5.388503074645996, 20.278152465820312, -3.349792957305908]], [-5.096902370452881, -8.141526222229004, 22.40846061706543], [[7.685178756713867, 11.716821670532227, -6.569401741027832], [12.760004043579102, -21.642208099365234, 11.098557472229004], [17.177955627441406, -16.49485969543457, 15.4574556350708]], [-9.740822792053223, 6.37037992477417, -3.3493189811706543], [[-15.05882453918457, -8.613140106201172], [10.279098510742188, -14.842832565307617], [-1.2582842111587524, -12.55621337890625]], [-17.010225296020508, 5.083789348602295]]"
274,502.02,384.07,74,"[[[4.883239269256592, 7.1415324211120605, -0.5406366586685181, 2.1131489276885986, -5.866201877593994], [-13.431195259094238, 17.080881118774414, 4.690463066101074, 0.9323742985725403, 25.459278106689453], [-1.1395759582519531, 2.0203139781951904, -5.097109317779541, -9.51840877532959, 1.6049658060073853], [-3.9980533123016357, -7.830822944641113, -8.253479957580566, -2.659317970275879, -10.343009948730469], [8.716401100158691, -6.614166736602783, -15.508757591247559, -26.02163314819336, 0.537381649017334]], [2.714282512664795, 11.620011329650879, -4.043071269989014, -19.460607528686523, -15.908562660217285], [[9.70172119140625, -2.1804723739624023, 2.5714826583862305], [-11.62942886352539, -7.216889381408691, -15.671010971069336], [-9.817346572875977, -11.369678497314453, 2.242717742919922], [9.736559867858887, -9.583755493164062, 12.50216293334961], [3.8377246856689453, 17.542970657348633, -4.896477699279785]], [-3.4518723487854004, -7.773336887359619, 21.30230140686035], [[4.758562088012695, 12.300074577331543, -6.890852451324463], [13.368962287902832, -21.254959106445312, 10.776718139648438], [18.483848571777344, -16.876338958740234, 16.506010055541992]], [-10.223722457885742, 4.651165962219238, -1.9756239652633667], [[-17.179479598999023, -6.888363838195801], [10.955629348754883, -13.930952072143555], [-1.4596728086471558, -11.995802879333496]], [-16.82813262939453, 4.635788440704346]]"
275,17.00,14.87,75,"[[[4.486340522766113, 9.664408683776855, 3.570286750793457, 0.49358102679252625, -6.699237823486328], [-14.005688667297363, 18.033527374267578, 8.429023742675781, 1.890587568283081, 25.85794448852539], [-1.9936224222183228, 4.453207492828369, -8.500001907348633, -8.876933097839355, 2.762721300125122], [-1.7789039611816406, -7.336959362030029, -5.017681121826172, -2.397805690765381, -12.310291290283203], [8.227348327636719, -4.063481330871582, -15.7681303024292, -26.822595596313477, 1.0815887451171875]], [2.743509531021118, 17.269245147705078, -0.14484845101833344, -16.033693313598633, -13.571417808532715], [[7.820733547210693, -2.289515733718872, 6.196258544921875], [-10.532031059265137, -7.313539981842041, -16.726421356201172], [-12.222881317138672, -10.685518264770508, 5.058836460113525], [7.839778423309326, -12.406193733215332, 17.244367599487305], [2.2186508178710938, 18.231090545654297, -4.1247878074646]], [-6.245521545410156, -6.620471000671387, 20.883438110351562], [[6.353092193603516, 10.167634010314941, -7.001162052154541], [14.999618530273438, -27.024227142333984, 12.922894477844238], [16.061880111694336, -13.868041038513184, 16.331382751464844]], [-11.015342712402344, 2.5210344791412354, -4.525221347808838], [[-16.4003963470459, -8.831561088562012], [5.834471225738525, -14.401734352111816], [2.737474203109741, -9.464818000793457]], [-17.138315200805664, 10.498305320739746]]"
276,411.51,210.37,76,"[[[3.549757719039917, 9.265088081359863, 0.8330979347229004, -0.18670955300331116, -5.681748867034912], [-13.080926895141602, 15.5158052444458, 6.867919921875, 3.7007977962493896, 27.098854064941406], [-2.8775594234466553, 5.3454461097717285, -7.137699127197266, -9.388716697692871, 2.435877799987793], [-2.4323456287384033, -7.001347541809082, -6.745425701141357, -4.924647331237793, -12.279889106750488], [10.039006233215332, -6.3055949211120605, -13.521648406982422, -28.454448699951172, -0.41967490315437317]], [2.0903382301330566, 11.844964981079102, -6.819852352142334, -16.917892456054688, -17.231889724731445], [[8.418010711669922, -6.724874496459961, 3.5866410732269287], [-12.894182205200195, -7.107052803039551, -14.38123607635498], [-11.186161041259766, -10.429527282714844, 2.3267509937286377], [8.21592903137207, -13.506924629211426, 14.865272521972656], [3.0885987281799316, 18.89267349243164, -8.854269981384277]], [-2.4763598442077637, -5.647789001464844, 20.55429458618164], [[6.738190174102783, 12.843897819519043, -8.259221076965332], [13.298105239868164, -21.51748275756836, 10.363948822021484], [16.439441680908203, -10.93946361541748, 19.362123489379883]], [-10.899368286132812, 2.609023332595825, -2.761381149291992], [[-17.734790802001953, -6.877082347869873], [7.417623043060303, -14.161467552185059], [4.614975929260254, -10.903908729553223]], [-16.640562057495117, 7.687210559844971]]"
